Id,label
2441,glass
0000,cup
2442,glass
6535,spoon
4814,plate
0001,cup
3505,knife
1650,fork
0002,cup
3506,knife
0003,cup
0004,cup
0005,cup
3507,knife
1653,fork
0006,cup
4816,plate
4817,plate
0008,cup
6537,spoon
0009,cup
6538,spoon
3509,knife
6539,spoon
6540,spoon
0010,cup
6541,spoon
3510,knife
4819,plate
4820,plate
3512,knife
0011,cup
2444,glass
0012,cup
6542,spoon
3513,knife
4822,plate
4823,plate
2445,glass
4824,plate
4825,plate
3514,knife
1655,fork
0013,cup
4827,plate
3516,knife
3517,knife
3518,knife
4828,plate
0016,cup
6546,spoon
3519,knife
4830,plate
1657,fork
3520,knife
0019,cup
2447,glass
2448,glass
6547,spoon
6548,spoon
2449,glass
4831,plate
4832,plate
4833,plate
6550,spoon
0020,cup
1658,fork
2450,glass
0021,cup
0022,cup
2452,glass
0023,cup
2453,glass
3523,knife
3524,knife
2454,glass
4834,plate
6551,spoon
4835,plate
3525,knife
4836,plate
1659,fork
1660,fork
6552,spoon
3526,knife
4837,plate
4841,plate
4842,plate
1661,fork
2456,glass
6553,spoon
4843,plate
2457,glass
6554,spoon
2458,glass
3527,knife
4844,plate
6555,spoon
0029,cup
4845,plate
4847,plate
6556,spoon
6557,spoon
3528,knife
1662,fork
0031,cup
4850,plate
1663,fork
6558,spoon
0032,cup
6559,spoon
2460,glass
0033,cup
6561,spoon
6562,spoon
6563,spoon
1664,fork
4851,plate
6564,spoon
4852,plate
6565,spoon
3530,knife
0035,cup
4853,plate
3531,knife
1665,fork
0036,cup
1666,fork
1667,fork
0039,cup
3532,knife
4854,plate
6566,spoon
0040,cup
0041,cup
4855,plate
4856,plate
0043,cup
4857,plate
2461,glass
4858,plate
6568,spoon
0045,cup
2462,glass
2463,glass
1668,fork
0047,cup
0048,cup
6569,spoon
0050,cup
0051,cup
0052,cup
0053,cup
6570,spoon
3534,knife
1669,fork
0055,cup
6571,spoon
4859,plate
0057,cup
4861,plate
0058,cup
0059,cup
0060,cup
4862,plate
0061,cup
6572,spoon
2466,glass
0062,cup
0063,cup
6573,spoon
6574,spoon
0064,cup
0065,cup
3538,knife
4863,plate
0066,cup
4864,plate
2467,glass
2468,glass
0067,cup
6575,spoon
1671,fork
4866,plate
0068,cup
6577,spoon
0069,cup
6578,spoon
4867,plate
2469,glass
1672,fork
4868,plate
2470,glass
0072,cup
2471,glass
6580,spoon
3539,knife
0074,cup
2472,glass
2473,glass
3542,knife
4869,plate
2475,glass
0077,cup
2476,glass
3543,knife
4870,plate
3544,knife
6582,spoon
2477,glass
0078,cup
0079,cup
3545,knife
1674,fork
0080,cup
6584,spoon
6585,spoon
6586,spoon
4871,plate
6587,spoon
2478,glass
2480,glass
0081,cup
3548,knife
1675,fork
0082,cup
4872,plate
0083,cup
0084,cup
6589,spoon
6590,spoon
3549,knife
6591,spoon
0085,cup
4873,plate
3550,knife
3551,knife
4875,plate
3552,knife
6592,spoon
3554,knife
2482,glass
4877,plate
6593,spoon
3555,knife
3556,knife
3557,knife
4878,plate
0088,cup
6594,spoon
2484,glass
6595,spoon
1676,fork
2485,glass
0089,cup
4879,plate
2486,glass
4880,plate
1678,fork
2487,glass
2488,glass
4881,plate
2489,glass
0090,cup
4882,plate
4883,plate
4884,plate
0092,cup
4885,plate
3560,knife
1679,fork
2491,glass
4886,plate
4887,plate
0093,cup
3561,knife
6599,spoon
2492,glass
0094,cup
3562,knife
4888,plate
3563,knife
0095,cup
0096,cup
4890,plate
4891,plate
6602,spoon
3564,knife
6603,spoon
6604,spoon
2493,glass
3566,knife
1683,fork
6605,spoon
1684,fork
6606,spoon
4894,plate
2494,glass
3567,knife
0099,cup
3568,knife
0100,cup
2495,glass
2496,glass
4896,plate
6608,spoon
4897,plate
0101,cup
0102,cup
6611,spoon
0103,cup
2498,glass
4900,plate
3570,knife
4901,plate
3571,knife
6612,spoon
0104,cup
0105,cup
6613,spoon
4902,plate
4903,plate
0108,cup
6615,spoon
1685,fork
3573,knife
1686,fork
1687,fork
4904,plate
2500,glass
0109,cup
6616,spoon
2501,glass
4907,plate
6617,spoon
2503,glass
6618,spoon
0110,cup
6619,spoon
4911,plate
4912,plate
2505,glass
3575,knife
1689,fork
3576,knife
6620,spoon
6621,spoon
4914,plate
1690,fork
2507,glass
3577,knife
3578,knife
4916,plate
0114,cup
3580,knife
4917,plate
3581,knife
6623,spoon
1693,fork
3582,knife
3583,knife
4919,plate
6624,spoon
0116,cup
2509,glass
3585,knife
1695,fork
2510,glass
6626,spoon
4920,plate
1696,fork
6627,spoon
4921,plate
3587,knife
3588,knife
0118,cup
0119,cup
2512,glass
6629,spoon
6630,spoon
6631,spoon
6632,spoon
4922,plate
4923,plate
3590,knife
4924,plate
0122,cup
6633,spoon
1697,fork
2513,glass
3592,knife
6634,spoon
1700,fork
0123,cup
0124,cup
3593,knife
6635,spoon
2514,glass
0125,cup
2515,glass
6638,spoon
4925,plate
3596,knife
0127,cup
4926,plate
1701,fork
2516,glass
2517,glass
1702,fork
6639,spoon
0128,cup
4928,plate
4929,plate
3601,knife
3603,knife
3604,knife
1703,fork
3605,knife
3606,knife
2520,glass
3608,knife
4931,plate
6640,spoon
2522,glass
3610,knife
4933,plate
4934,plate
4935,plate
4936,plate
3611,knife
3612,knife
0130,cup
4937,plate
4938,plate
0131,cup
6643,spoon
4939,plate
0132,cup
4940,plate
6644,spoon
1706,fork
4942,plate
4943,plate
1707,fork
6646,spoon
1708,fork
3613,knife
3614,knife
2523,glass
4944,plate
2524,glass
4945,plate
6647,spoon
2526,glass
4946,plate
0133,cup
0134,cup
4947,plate
2527,glass
6649,spoon
4948,plate
4949,plate
6650,spoon
4950,plate
4951,plate
3615,knife
0136,cup
4952,plate
4953,plate
6652,spoon
4954,plate
0138,cup
3617,knife
2529,glass
6654,spoon
2530,glass
0139,cup
6655,spoon
3619,knife
6656,spoon
3620,knife
0141,cup
1710,fork
1711,fork
0142,cup
6657,spoon
0143,cup
0144,cup
6658,spoon
0145,cup
4956,plate
4957,plate
6660,spoon
1712,fork
6661,spoon
3621,knife
3622,knife
4958,plate
1713,fork
2532,glass
4959,plate
6663,spoon
2533,glass
4960,plate
1714,fork
3623,knife
4962,plate
1715,fork
2534,glass
0146,cup
3624,knife
0147,cup
3625,knife
6664,spoon
2536,glass
4964,plate
3626,knife
4965,plate
0148,cup
2537,glass
2538,glass
6666,spoon
0149,cup
0150,cup
0151,cup
2539,glass
0152,cup
2540,glass
6667,spoon
0153,cup
0154,cup
6668,spoon
6669,spoon
0156,cup
0157,cup
6670,spoon
6671,spoon
4967,plate
3628,knife
3629,knife
4968,plate
6673,spoon
2542,glass
4969,plate
4970,plate
0159,cup
3632,knife
3633,knife
3634,knife
4973,plate
4974,plate
6675,spoon
2543,glass
0160,cup
6676,spoon
6677,spoon
3635,knife
3636,knife
0161,cup
6678,spoon
2545,glass
2546,glass
1717,fork
2547,glass
1718,fork
0162,cup
4977,plate
1719,fork
3639,knife
4978,plate
0163,cup
1720,fork
2548,glass
4979,plate
4980,plate
2549,glass
6680,spoon
4982,plate
3640,knife
4983,plate
6682,spoon
6683,spoon
2551,glass
1722,fork
3641,knife
1723,fork
6684,spoon
6686,spoon
2552,glass
6687,spoon
0166,cup
1724,fork
2553,glass
4986,plate
3642,knife
4987,plate
1725,fork
4988,plate
2555,glass
0168,cup
6688,spoon
1726,fork
6689,spoon
2557,glass
6690,spoon
4989,plate
0172,cup
1727,fork
3644,knife
4992,plate
0174,cup
0175,cup
4993,plate
6691,spoon
4995,plate
6692,spoon
6693,spoon
6694,spoon
3648,knife
1730,fork
1731,fork
3649,knife
0176,cup
6695,spoon
0177,cup
0178,cup
3650,knife
6696,spoon
3651,knife
1732,fork
3652,knife
1733,fork
4996,plate
2560,glass
6697,spoon
3653,knife
0182,cup
4999,plate
3654,knife
0183,cup
0184,cup
0185,cup
1734,fork
2562,glass
5000,plate
0186,cup
0187,cup
6698,spoon
5001,plate
5002,plate
0188,cup
5003,plate
5004,plate
2564,glass
0189,cup
6699,spoon
5005,plate
2565,glass
0190,cup
0191,cup
6700,spoon
1736,fork
0193,cup
3656,knife
6701,spoon
1738,fork
5008,plate
1739,fork
5010,plate
5011,plate
6702,spoon
1740,fork
5012,plate
0195,cup
1741,fork
1742,fork
3658,knife
6703,spoon
6704,spoon
2567,glass
3659,knife
0196,cup
0197,cup
3660,knife
5015,plate
5016,plate
1744,fork
6707,spoon
0198,cup
3661,knife
5017,plate
1745,fork
5020,plate
6711,spoon
2569,glass
6712,spoon
6713,spoon
2570,glass
2571,glass
0202,cup
6714,spoon
0203,cup
0204,cup
6716,spoon
2573,glass
0205,cup
3666,knife
5025,plate
6717,spoon
0207,cup
5027,plate
2574,glass
3668,knife
6719,spoon
0208,cup
3669,knife
0209,cup
0210,cup
6720,spoon
6721,spoon
6722,spoon
1747,fork
1748,fork
3671,knife
6723,spoon
1749,fork
6724,spoon
6725,spoon
5032,plate
3672,knife
6726,spoon
0212,cup
5033,plate
5034,plate
6727,spoon
5035,plate
2576,glass
5036,plate
3675,knife
5037,plate
6729,spoon
3676,knife
3677,knife
0214,cup
1752,fork
5040,plate
0215,cup
6730,spoon
5042,plate
6731,spoon
2577,glass
6732,spoon
6733,spoon
3678,knife
5043,plate
0217,cup
3679,knife
6734,spoon
2578,glass
1753,fork
5045,plate
3680,knife
6736,spoon
3681,knife
2579,glass
1754,fork
6738,spoon
2580,glass
0220,cup
2582,glass
2583,glass
6739,spoon
3683,knife
1755,fork
5047,plate
3684,knife
1756,fork
3685,knife
0221,cup
5048,plate
0222,cup
5049,plate
6742,spoon
5050,plate
2584,glass
5051,plate
1757,fork
3687,knife
0223,cup
6744,spoon
5053,plate
5054,plate
6745,spoon
5055,plate
6746,spoon
6747,spoon
3689,knife
3690,knife
2585,glass
5056,plate
2586,glass
0224,cup
1759,fork
1760,fork
5058,plate
0226,cup
1761,fork
2587,glass
6749,spoon
6750,spoon
6752,spoon
2589,glass
